"Season","Team","Basic","1B","2B","3B","HR","SO","BB","GB","FB","LD","IFFB","FIP"
"2016","ana","97","100","96","88","98","102","97","101","100","98","100","99"
"2016","bal","100","101","96","87","106","98","100","101","102","100","100","103"
"2016","bos","105","103","112","103","95","99","99","102","97","103","101","99"
"2016","cha","99","98","95","93","105","102","103","98","101","98","105","100"
"2016","cle","104","101","106","83","102","100","100","101","97","101","92","101"
"2016","det","100","101","99","123","101","96","100","100","104","101","105","101"
"2016","kca","101","101","105","114","92","97","99","100","101","101","95","98"
"2016","min","102","103","103","104","101","98","99","102","101","102","100","102"
"2016","nya","101","99","95","83","112","101","100","98","102","98","102","104"
"2016","oak","98","99","102","113","94","98","99","100","102","100","105","98"
"2016","sea","95","98","96","85","99","103","99","97","102","97","107","98"
"2016","tba","97","99","94","100","96","103","100","98","100","100","104","97"
"2016","tex","108","103","100","109","101","98","104","100","100","103","98","104"
"2016","tor","100","97","108","97","103","100","99","99","99","100","98","100"
"2016","ari","105","100","106","127","104","100","100","101","100","101","93","101"
"2016","atl","99","100","98","96","94","103","102","98","100","101","99","97"
"2016","chn","100","100","100","103","101","101","102","100","99","101","97","100"
"2016","cin","102","98","100","91","108","104","102","98","100","98","102","103"
"2016","col","116","109","109","132","110","95","102","107","99","107","90","107"
"2016","mia","95","99","98","108","90","99","101","101","99","97","95","97"
"2016","hou","96","98","96","109","102","103","99","100","98","98","100","99"
"2016","lan","96","97","99","77","100","100","94","99","100","96","102","98"
"2016","mil","101","99","101","96","108","101","101","99","100","101","97","102"
"2016","was","102","104","102","81","97","99","100","100","102","101","98","100"
"2016","nyn","94","95","96","86","99","102","101","97","101","98","110","98"
"2016","phi","99","98","97","95","111","104","101","99","101","97","108","102"
"2016","pit","98","102","99","96","92","97","99","102","98","104","99","99"
"2016","sln","98","100","99","96","95","97","98","100","101","101","103","99"
"2016","sdn","97","98","96","96","96","101","100","100","98","99","97","99"
"2016","sfn","97","100","99","122","86","100","101","101","97","98","98","95"
